Article Name,Software Mention in Softcite Dataset ,Frequency ,Software Mention in Article,Frequency,Note
A comparative study of collimation in bedside chest radiography for preterm infants in two teaching hospitals,Excel,1,Excel ,1,
A comparative study of collimation in bedside chest radiography for preterm infants in two teaching hospitals,SAS 9.1,1,SAS 9.1,1,
NaHCO3 enhances the antitumor activities of cytokine-induced killer cells against hepatocellular carcinoma HepG2 cells,SPSS 13.0,1,WinMDI 2.9,1,
NaHCO3 enhances the antitumor activities of cytokine-induced killer cells against hepatocellular carcinoma HepG2 cells,,,SPSS 13.0,1,
Deep brain stimulation of globus pallidus internus for DYT1 posi- tive primary generalized dystonia,SPSS 11.0,1,SPSS 11.0,2,
Methylation Levels of LINE-1 As a Useful Marker for Venous Invasion in Both FFPE and Frozen Tumor Tissues of Gastric Cancer,GraphPad Prism 5.0,1,GraphPad Prism 5.0,1,
Embedding online patient record access in UK primary care: a survey of stakeholder experiences,HealthSpace,1,HealthSpace,3,Including Reference Material 
A robust cell cycle control mechanism limits E2F-induced proliferation of terminally differentiated cells in vivo,JCB DataViewer,2,JCB DataViewer,3,Including Supplemental material 
"Molecular Detection of &lt;i&gt;Giardia intestinalis from Stray Dogs in Animal Shelters of Gyeongsangbuk-do (Province) and Daejeon, Korea",BLASTN,1,BLASTN,3,Computer algortihm
"Molecular Detection of &lt;i&gt;Giardia intestinalis from Stray Dogs in Animal Shelters of Gyeongsangbuk-do (Province) and Daejeon, Korea",CLUSTAL W2,1,CLUSTAL W2,3,
The Effects of an Orientation Program on Quality of Life of Patients with Thalassemia: a Quasi-Experimental Study,SPSS 13.0,1,SPSS 13.0,2,
Making your database available through Wikipedia: the pros and cons,WikiTrust,1,WikiTrust,1,
Making your database available through Wikipedia: the pros and cons,Firefox,1,Firefox,1,
Dairy Product Intake Is Inversely Associated with Metabolic Syndrome in Korean Adults: Anseong and Ansan Cohort of the Korean Genome and Epidemiology Study,Stata 11.0,1,Stata 11.0,1,
Intra-tumor delivery of zoledronate mitigates metastasis-induced osteolysis superior to systemic administration,Imagescope,2,Imagescope,2,
Dynamic Predictive Scores for Cardiac Surgery–Associated Acute Kidney Injury,SPSS 20.0,1,SPSS 20.0,1,
A Short Introduction to the World of Cryptocurrencies,None,None,None,None,
Vascular Pedicle Width on Chest Radiograph as a Measure of Volume Overload: Meta-Analysis,Comprehensive meta- analysis 2.2,,Comprehensive meta- analysis 2.2,1,
Vascular Pedicle Width on Chest Radiograph as a Measure of Volume Overload: Meta-Analysis,Stata 11.0,,Stata 11.0,1,
The development and exploratory analysis of the Back Pain Attitudes Questionnaire (Back-PAQ),Word,1,Word,1,
The development and exploratory analysis of the Back Pain Attitudes Questionnaire (Back-PAQ),PostgreSQL 9.1.4,,PostgreSQL 9.1.4,1,
A novel role of sphingosine 1-phosphate receptor S1pr1 in mouse thrombopoiesis,AxioVision,1,AxioVision ,2,
A novel role of sphingosine 1-phosphate receptor S1pr1 in mouse thrombopoiesis,ImageJ,1,ImageJ,2,
Resveratrol blocks Akt activation in angiotensin II- or EGF-stimulated vascular smooth muscle cells in a redox-independent manner,AIDA image analyser 4.06,1,AIDA image analyser 4.06,1,
Resveratrol blocks Akt activation in angiotensin II- or EGF-stimulated vascular smooth muscle cells in a redox-independent manner,GraphPad PRISM 4.0,1,GraphPad PRISM 4.0,1,
Undergraduate Urban Metagenomics Research Module †,QIIME,1,QIIME,1,
IL-17A (-197G/A) and IL-17F (7488T/C) gene polymorphisms and cancer risk in Asian population: a meta-analysis,Review Manager (RevMan) 5.0,1,Review Manager (RevMan) 5.0,1,
IL-17A (-197G/A) and IL-17F (7488T/C) gene polymorphisms and cancer risk in Asian population: a meta-analysis,Stata 11.0,1,Stata 11.0,1,
C7orf30 is necessary for biogenesis of the large subunit of the mitochondrial ribosome,ImageQuant,2,ImageQuant,5,
Comparison of Macitentan and Bosentan on Right Ventricular Remodeling in a Rat Model of Non-vasoreactive Pulmonary Hypertension,Echopac,1,Echopac,1,
Comparison of Macitentan and Bosentan on Right Ventricular Remodeling in a Rat Model of Non-vasoreactive Pulmonary Hypertension,CellSens Standard 1.3,1,CellSens Standard 1.3,1,
From computational discovery to experimental characterization of a high hole mobility organic crystal,Forcite,1,Forcite,1,
Src kinases in chondrosarcoma chemoresistance and migration: dasatinib sensitises to doxorubicin in TP53 mutant cells,SPSS 17.0,1,SPSS 17.0,1,
Src kinases in chondrosarcoma chemoresistance and migration: dasatinib sensitises to doxorubicin in TP53 mutant cells,GraphPad Prism 5,1,GraphPad Prism 5,1,
Evaluating Kyphosis and Lordosis in Students by Using a Flexible Ruler and Their Relationship with Severity and Frequency of Thoracic and Lumbar Pain,SPSS 16,1,SPSS 16,1,
Micro-to-Macro Simulation: A Primer With a Labor Market Example,None ,None,None ,None,
Point-of-care assessment of platelet reactivity in the emergency department may facilitate rapid rule-out of acute coronary syndromes: a prospective cohort pilot feasibility study,GraphPad Prism 5.04,1,GraphPad Prism 5.04,1,
"Physical activity, healthy lifestyle behaviors, neighborhood environment characteristics and social support among Australian Aboriginal and non-Aboriginal adults",SPSS 21.0,1,SPSS 21.0,1,
Tau Oligomers Associate with Inflammation in the Brain and Retina of Tauopathy Mice and in Neurodegenerative Diseases,Graphpad Prism 6,3,Graphpad Prism 6,3,
Impact of sustainable development indicators on economic growth: Baltic countries in the context of developed Europe,MS Excel,1,MS Excel,1,
The possible molecular regulation mechanism of CIK cells inhibiting the proliferation of Human Lung Adenocarcinoma NCL-H157 Cells,Quantity One,1,Quantity One,1,
The possible molecular regulation mechanism of CIK cells inhibiting the proliferation of Human Lung Adenocarcinoma NCL-H157 Cells,SPSS 11.5,1,SPSS 11.5,1,
Smooth muscle–endothelial cell communication activates Reelin signaling and regulates lymphatic vessel formation,MetaMorph,2,MetaMorph,2,
RNA secondary structure regulates the translation of sxy and competence development in Haemophilus influenzae,ImageQuant,1,ImageQuant,2,
Optimization of nutrition factors on chitinase production from a newly isolated Chitiolyticbacter meiyuanensis SYBC-H1,SPSS 11.5,1,SPSS 11.5,1,
Optimization of nutrition factors on chitinase production from a newly isolated Chitiolyticbacter meiyuanensis SYBC-H1,Design Expert 7,1,Design Expert 7,1,
Co-integration Rank Determination in Partial Systems Using Information Criteria,OxMetrics,1,,,Need access to the paper 
Co-integration Rank Determination in Partial Systems Using Information Criteria,MATLAB,1,,,Need access to the paper 
THE SHIFTING DEMAND FOR HOUSING BY AMERICAN RENTERS AND ITS IMPACT ON HOUSEHOLD BUDGETS: 1940-2010*,STATA,1,,,Need access to the paper 
Differences of Upper Airway Morphology According to Obesity: Study with Cephalometry and Dynamic MD-CT,SPSS 15.0,1,SPSS 15.0,1,
"Human telomeres replicate using chromosome-specific, rather than universal, replication programs",IPLab,1,IPLab,1,
"Human telomeres replicate using chromosome-specific, rather than universal, replication programs",Photoshop,1,Photoshop,1,
"Human telomeres replicate using chromosome-specific, rather than universal, replication programs",Illustrator,1,Illustrator,1,
Resolving the <I>Diaporthe</I> species occurring on soybean in Croatia,MrBayes 3.0b4,1,MrBayes 3.0b4,2,Including reference 
Resolving the <I>Diaporthe</I> species occurring on soybean in Croatia,PAUP 4.0b10,1,PAUP 4.0b10,2,Including reference 
A meta-analysis of neuroprotective effect for traditional Chinese medicine (TCM) in the treatment of glaucoma,STATA/SE 11.0,1,STATA 11.0,2,
Reliability and Validity of the Severe Impairment Battery (SIB) in Korean Dementia Patients,SPSS 11.0,1,SPSS 11.0,1,
Protistan community analysis: key findings of a large-scale molecular sampling,UCHIME,1,UCHIME,2,Including reference
Protistan community analysis: key findings of a large-scale molecular sampling,CANGS,1,CANGS,2,Including reference
Human Papillomavirus (HPV) Type Distribution in Females with Abnormal Cervical Cytology. A Correlation with Histological Study,SPSS 13.0,1,SPSS 13.0,1,
Diagnostic yield of computed tomography-guided bone biopsy and clinical outcomes of tuberculous and pyogenic spondylitis,SPSS 17.0,1,SPSS 17.0,1,
Mitogen-activated Protein Kinase Kinase Activity Maintains Acinar-to-Ductal Metaplasia and Is Required for Organ Regeneration in Pancreatitis,Halo,1,Halo,1,
Mitogen-activated Protein Kinase Kinase Activity Maintains Acinar-to-Ductal Metaplasia and Is Required for Organ Regeneration in Pancreatitis,NIS-Elements,1,NIS-Elements,1,
Mitogen-activated Protein Kinase Kinase Activity Maintains Acinar-to-Ductal Metaplasia and Is Required for Organ Regeneration in Pancreatitis,ImageJ,1,ImageJ,1,
Mitogen-activated Protein Kinase Kinase Activity Maintains Acinar-to-Ductal Metaplasia and Is Required for Organ Regeneration in Pancreatitis,Graph Pad Prism,1,Graph Pad Prism,1,
Shewanella knowledgebase: integration of the experimental data and computational predictions suggests a biological role for transcription of intergenic regions,SAM,,SAM,2,Including reference
"Impact of an electronic medication management system on hospital doctors' and nurses' work: a controlled pre–post, time and motion study",WOMBAT,1,WOMBAT,6,Including reference
Antiviral effect of dietary germanium biotite supplementation in pigs experimentally infected with porcine reproductive and respiratory syndrome virus,SPSS 17.0,1,SPSS 17.0,1,
The Effects of Kangaroo Mother Care and Swaddling on Venipuncture Pain in Premature Neonates: A Randomized Clinical Trial,G power 3.1,1,G power 3.1,1,
The Effects of Kangaroo Mother Care and Swaddling on Venipuncture Pain in Premature Neonates: A Randomized Clinical Trial,SPSS 20,1,SPSS 20,1,
The Effects of Kangaroo Mother Care and Swaddling on Venipuncture Pain in Premature Neonates: A Randomized Clinical Trial,STATA 11,1,STATA 11 ,1,
Improving medication adherence among kidney transplant recipients: Findings from other industries,NudgerSize,1,NudgerSize,1,
Are There Environmental Benefits from Driving Electric Vehicles? The Importance of Local Factors,MOVES,1,MOVES,1,
Base methylations in the double-stranded RNA by a fused methyltransferase bearing unwinding activity,GraphPad PRISM 5,1,GraphPad PRISM 5,1,
In silicoScreening of Chemical Libraries to Develop Inhibitors That Hamper the Interaction of PCSK9 with the LDL Receptor,GOLD 4.0.1,1,GOLD 4.0.1,2,Including Reference
Diet composition as a source of variation in experimental animal models of cancer cachexia,None ,None,None,None,
Tumor necrosis factor-alpha 308G>A polymorphism and risk of rheumatic heart disease: a meta-analysis,Stata 10.0,1,Stata,1,
Prediction of Chronic Subdural Hematoma in Minor Head Trauma Patients,SPSS 20.0,1,SPSS 20.0,1,
Echocardiographic evaluation during weaning from mechanical ventilation,SPSS 12.0,1,SPSS 12.0,1,
The Effect of Precooling on Exhaustive Performance in the Hot Environment,SPSS 19,1,SPSS 19,1,
